product_id;parent_id;sku;name;stock_now;sold_period;avg_daily;needed_for_cover;order_qty;stock_cover_days;status
527637737;0;5903407166322;Canpol 2/441 - ŁAŃCUSZEK - do smoczka uspokajającego - GOOSE;2;0;0,000;0;0;;OK
585934326;0;5903407367279;Canpol 78/025 - Jednorazowe RĘCZNIKI – ZESTAW 2 szt.  - (140×70 cm + 70×30 cm);10;0;0,000;0;0;;OK
585934335;0;5903407367286;Canpol 78/026 - Jednorazowe spłukiwalne nakładki na toaletę - (10 szt. );25;0;0,000;0;0;;OK
557183707;557178729;5907180605474BEZ;DUET BABY 547 - OKRYCIE KĄPIELOWE z kapturkiem + KOCYK dla niemowląt - Beżowy;0;0;0,000;0;0;;OK
557183713;557178729;5907180605474JAS;DUET BABY 547 - OKRYCIE KĄPIELOWE z kapturkiem + KOCYK dla niemowląt - Jasnoszary;0;0;0,000;0;0;;OK
557183710;557178729;5907180605474NIB;DUET BABY 547 - OKRYCIE KĄPIELOWE z kapturkiem + KOCYK dla niemowląt - Niebieski;0;0;0,000;0;0;;OK
557183705;557178729;5907180605474ROZ;DUET BABY 547 - OKRYCIE KĄPIELOWE z kapturkiem + KOCYK dla niemowląt - Różowy;1;0;0,000;0;0;;OK
557183709;557178729;5907180605474SZ;DUET BABY 547 - OKRYCIE KĄPIELOWE z kapturkiem + KOCYK dla niemowląt - Szary;1;0;0,000;0;0;;OK
211348470;211348468;SMZ.9756.WOOD.L.01;Doctor Nap szlafrok damski suwak - L;1;0;0,000;0;0;;OK
211348469;211348468;SMZ.9756.WOOD.M.01;Doctor Nap szlafrok damski suwak - M;0;0;0,000;0;0;;OK
528612337;211348468;SMZ.9756.WOOD.S.01;Doctor Nap szlafrok damski suwak - S;0;0;0,000;0;0;;OK
211348471;211348468;SMZ.9756.WOOD.XL.01;Doctor Nap szlafrok damski suwak - XL;1;0;0,000;0;0;;OK
211347422;0;765678;Dr.Browns SB2100 - Butelka standard - (60ml) - OPTIONS;1;0;0,000;0;0;;OK
570340132;0;ORG-OHBABY-34-NAT;Drewniany ORGANIZER dziecięcy - OH BABY - z drążkiem;2;0;0,000;0;0;;OK
591220290;0;773520;HAXE NS1 - Aspirator do nosa elektryczny;0;0;0,000;0;0;;OK
591220298;0;779657;HELPMEDI DinoRino - Aspirator ustny kataru;0;0;0,000;0;0;;OK
591220294;0;788740;HELPMEDI HNA-300 - Aspirator kataru Electrino;0;0;0,000;0;0;;OK
591220304;0;5906940;KATAREK COMPLETE Secure+ - Aspirator kataru - (20 amp. NaCI);0;0;0,000;0;0;;OK
591220319;0;5913628;KATAREK PLUS - Aspirator kataru do odkurzacza z rozkręcaną komorą;0;0;0,000;0;0;;OK
591220323;0;5913354;KATAREK STANDARD - Aspirator kataru do odkurzacza;0;0;0,000;0;0;;OK
591220327;0;778488;KATAREK TRAVEL 2w1 - Aspirator kataru do odkurzacza i aspiracji ustnej;0;0;0,000;0;0;;OK
